title,pricebucks,price,image,description
Toyota RAV4,$ 23 000,2 020 090 сом,https://im.mashina.kg/tachka/images//1/a/d/1add4b65949b7618fd474b638d9dc158_240x180.jpg,"2017г.,2.5л.,автоматвнедорожник5дв.,бензинрульслева,145000км"
Geely Monjaro,$ 38 600,3 390 238 сом,https://im.mashina.kg/tachka/images//0/3/4/034d0ec7b7f814bcf27d892a026222e1_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,60км"
Toyota Avalon,$ 20 000,1 756 600 сом,https://im.mashina.kg/tachka/images//1/7/0/17000cf8ef1a27f63635e1ab6c4f8074_240x180.jpg,"2014г.,2.5л.,вариаторседан,гибридрульслева,158000км"
Geely Monjaro,$ 38 000,3 337 540 сом,https://im.mashina.kg/tachka/images//e/8/7/e874c443dffc3a57f7d4150b4995294a_240x180.jpg,"2023г.,2л.,автоматвнедорожник5дв.,бензинрульслева,50км"
Lexus NX,$ 29 000,2 547 070 сом,https://im.mashina.kg/tachka/images//9/6/4/96414b60dd513ff12798c1491f152ee0_240x180.jpg,"2017г.,2л.,автоматвнедорожник5дв.,бензинрульслева,84000км"
Toyota Camry,$ 33 500,2 942 305 сом,https://im.mashina.kg/tachka/images//4/6/9/4690c516fce230bfa6a87fdf35869aa7_240x180.jpg,"2020г.,2.5л.,автоматседан,бензинрульслева,21500км"
Lexus LS,$ 69 500,6 104 185 сом,https://im.mashina.kg/tachka/images//0/c/6/0c6dca85823989d7a955e1a5ac569352_240x180.jpg,"2018г.,3.4л.,автоматседан,бензинрульслева,71000км"
Toyota Camry,$ 23 500,2 064 005 сом,https://im.mashina.kg/tachka/images//4/4/3/44393106e0ecd18d97388dce7cee77f3_240x180.jpg,"2017г.,2.5л.,автоматседан,бензинрульслева,89000км"
Lexus LX,$ 69 000,6 060 270 сом,https://im.mashina.kg/tachka/images//8/1/6/81632426f506d603c65b21c818aee164_240x180.jpg,"2015г.,5.7л.,автоматвнедорожник5дв.,бензинрульслева,92500км"
Kia K5 III Седан,$ 28 500,2 503 155 сом,https://im.mashina.kg/tachka/images//7/9/3/793ffde4b0fe3bbfd970ae03e12fe5b0_240x180.jpg,"2019г.,2л.,автоматседан,бензинрульслева,83000км"
